"DATE","TIME PERIOD","Eonia rate - Historical close, average of observations through period (FM.M.U2.EUR.4F.MM.EONIA.HSTA)"
"1994-01-31","1994Jan","6.8400"
"1994-02-28","1994Feb","6.7300"
"1994-03-31","1994Mar","6.6800"
"1994-04-30","1994Apr","6.2200"
"1994-05-31","1994May","5.8500"
"1994-06-30","1994Jun","6.3200"
"1994-07-31","1994Jul","6.2700"
"1994-08-31","1994Aug","5.9400"
"1994-09-30","1994Sep","6.0000"
"1994-10-31","1994Oct","6.1300"
"1994-11-30","1994Nov","5.9700"
"1994-12-31","1994Dec","5.2400"
"1995-01-31","1995Jan","5.8700"
"1995-02-28","1995Feb","6.0300"
"1995-03-31","1995Mar","6.4200"
"1995-04-30","1995Apr","6.5300"
"1995-05-31","1995May","6.4800"
"1995-06-30","1995Jun","6.3600"
"1995-07-31","1995Jul","6.2000"
"1995-08-31","1995Aug","5.9600"
"1995-09-30","1995Sep","5.8000"
"1995-10-31","1995Oct","6.0200"
"1995-11-30","1995Nov","5.7600"
"1995-12-31","1995Dec","5.6200"
"1996-01-31","1996Jan","5.2600"
"1996-02-29","1996Feb","4.8900"
"1996-03-31","1996Mar","4.8900"
"1996-04-30","1996Apr","4.7100"
"1996-05-31","1996May","4.7300"
"1996-06-30","1996Jun","4.7300"
"1996-07-31","1996Jul","4.5200"
"1996-08-31","1996Aug","4.3900"
"1996-09-30","1996Sep","4.0800"
"1996-10-31","1996Oct","4.1500"
"1996-11-30","1996Nov","4.5700"
"1996-12-31","1996Dec","4.0400"
"1997-01-31","1997Jan","4.3500"
"1997-02-28","1997Feb","4.3500"
"1997-03-31","1997Mar","4.0900"
"1997-04-30","1997Apr","3.8500"
"1997-05-31","1997May","3.8400"
"1997-06-30","1997Jun","3.9400"
"1997-07-31","1997Jul","3.8300"
"1997-08-31","1997Aug","4.0200"
"1997-09-30","1997Sep","3.8700"
"1997-10-31","1997Oct","4.2800"
"1997-11-30","1997Nov","3.8600"
"1997-12-31","1997Dec","3.9800"
"1998-01-31","1998Jan","3.8900"
"1998-02-28","1998Feb","4.2200"
"1998-03-31","1998Mar","3.8300"
"1998-04-30","1998Apr","3.7600"
"1998-05-31","1998May","3.7900"
"1998-06-30","1998Jun","3.7600"
"1998-07-31","1998Jul","3.7700"
"1998-08-31","1998Aug","3.7800"
"1998-09-30","1998Sep","3.8100"
"1998-10-31","1998Oct","3.6600"
"1998-11-30","1998Nov","3.4000"
"1998-12-31","1998Dec","3.0900"
"1999-01-31","1999Jan","3.1370"
"1999-02-28","1999Feb","3.1180"
"1999-03-31","1999Mar","2.9252"
"1999-04-30","1999Apr","2.7091"
"1999-05-31","1999May","2.5510"
"1999-06-30","1999Jun","2.5632"
"1999-07-31","1999Jul","2.5209"
"1999-08-31","1999Aug","2.4427"
"1999-09-30","1999Sep","2.4336"
"1999-10-31","1999Oct","2.5019"
"1999-11-30","1999Nov","2.9355"
"1999-12-31","1999Dec","3.0418"
"2000-01-31","2000Jan","3.0429"
"2000-02-29","2000Feb","3.2757"
"2000-03-31","2000Mar","3.5104"
"2000-04-30","2000Apr","3.6850"
"2000-05-31","2000May","3.9200"
"2000-06-30","2000Jun","4.2945"
"2000-07-31","2000Jul","4.3086"
"2000-08-31","2000Aug","4.4191"
"2000-09-30","2000Sep","4.5905"
"2000-10-31","2000Oct","4.7627"
"2000-11-30","2000Nov","4.8291"
"2000-12-31","2000Dec","4.8268"
"2001-01-31","2001Jan","4.7559"
"2001-02-28","2001Feb","4.9925"
"2001-03-31","2001Mar","4.7814"
"2001-04-30","2001Apr","5.0642"
"2001-05-31","2001May","4.6536"
"2001-06-30","2001Jun","4.5395"
"2001-07-31","2001Jul","4.5055"
"2001-08-31","2001Aug","4.4913"
"2001-09-30","2001Sep","3.9865"
"2001-10-31","2001Oct","3.9713"
"2001-11-30","2001Nov","3.5073"
"2001-12-31","2001Dec","3.3389"
"2002-01-31","2002Jan","3.2936"
"2002-02-28","2002Feb","3.2830"
"2002-03-31","2002Mar","3.2640"
"2002-04-30","2002Apr","3.3162"
"2002-05-31","2002May","3.3100"
"2002-06-30","2002Jun","3.3485"
"2002-07-31","2002Jul","3.3017"
"2002-08-31","2002Aug","3.2927"
"2002-09-30","2002Sep","3.3186"
"2002-10-31","2002Oct","3.3004"
"2002-11-30","2002Nov","3.3043"
"2002-12-31","2002Dec","3.0945"
"2003-01-31","2003Jan","2.7868"
"2003-02-28","2003Feb","2.7635"
"2003-03-31","2003Mar","2.7490"
"2003-04-30","2003Apr","2.5605"
"2003-05-31","2003May","2.5571"
"2003-06-30","2003Jun","2.2133"
"2003-07-31","2003Jul","2.0783"
"2003-08-31","2003Aug","2.0981"
"2003-09-30","2003Sep","2.0209"
"2003-10-31","2003Oct","2.0148"
"2003-11-30","2003Nov","1.9730"
"2003-12-31","2003Dec","2.0567"
"2004-01-31","2004Jan","2.0214"
"2004-02-29","2004Feb","2.0315"
"2004-03-31","2004Mar","2.0057"
"2004-04-30","2004Apr","2.0762"
"2004-05-31","2004May","2.0152"
