"Data
wyliczenia","Stawka","Wartość
obrotów
(w mln PLN)","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15"
2005-01-24,0.0543,2047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-25,0.0608,2992.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-26,0.0733,2204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-27,0.0703,2970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-28,0.0537,2993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-01-31,0.0639,1735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-01,0.0634,1594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-02,0.063,2288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-03,0.0622,2713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-04,0.0642,1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-07,0.0648,2645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-08,0.0636,2344.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-09,0.0623,2199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-10,0.0622,2538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-11,0.0636,2792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-14,0.0635,2506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-15,0.0623,2440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-16,0.0627,3177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-17,0.0628,3480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-18,0.0572,2333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-21,0.0548,4211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-02-22,0.0524,1880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
